"Components of population growth","1971 / 1972","1972 / 1973","1973 / 1974","1974 / 1975","1975 / 1976","1976 / 1977","1977 / 1978","1978 / 1979","1979 / 1980","1980 / 1981","1981 / 1982","1982 / 1983","1983 / 1984","1984 / 1985","1985 / 1986","1986 / 1987","1987 / 1988","1988 / 1989","1989 / 1990","1990 / 1991","1991 / 1992","1992 / 1993","1993 / 1994","1994 / 1995","1995 / 1996","1996 / 1997","1997 / 1998","1998 / 1999","1999 / 2000","2000 / 2001","2001 / 2002","2002 / 2003","2003 / 2004","2004 / 2005","2005 / 2006","2006 / 2007","2007 / 2008","2008 / 2009","2009 / 2010","2010 / 2011","2011 / 2012","2012 / 2013","2013 / 2014","2014 / 2015","2015 / 2016","2016 / 2017","2017 / 2018","2018 / 2019","2019 / 2020","2020 / 2021","2021 / 2022","2022 / 2023"
,"Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Births","351,256","345,815","342,446","355,960","364,278","357,850","359,793","362,432","367,286","372,139","372,472","373,594","374,533","376,265","375,381","373,022","370,033","384,035","403,280","402,929","403,107","392,181","386,159","381,998","372,453","357,313","345,123","338,295","336,912","327,487","329,131","331,640","339,351","341,833","349,162","363,935","376,992","383,257","382,159","378,665","380,335","382,609","382,877","383,839","384,300","380,554","377,163","373,307","371,321","362,563","364,503","357,903"
"Deaths","159,533","162,618","166,284","168,751","166,428","165,747","169,030","165,805","171,460","170,535","172,352","176,522","174,159","179,085","183,353","182,599","189,917","188,408","192,608","192,439","196,967","201,808","206,464","209,389","209,766","217,221","217,688","217,632","217,229","219,320","220,847","224,254","229,256","230,211","225,915","234,193","236,696","237,896","237,330","245,667","242,669","251,865","253,122","266,313","262,278","274,517","283,939","283,148","297,195","307,297","319,619","330,379"
"Immigrants","117,036","138,526","217,456","209,283","170,028","130,931","100,967","84,518","143,825","127,238","135,339","101,404","88,592","83,925","88,657","130,880","152,211","177,632","203,357","221,382","244,281","266,890","235,360","220,738","217,478","224,857","194,459","173,194","205,710","252,527","256,405","199,170","239,101","244,599","254,381","238,127","249,632","245,313","270,635","259,143","260,043","263,115","267,936","240,775","323,188","272,694","303,369","313,603","284,153","226,314","493,236","468,817"
"Net emigration","26,577","27,733","46,754","40,502","30,315","25,057","31,437","30,857","20,521","17,819","29,110","31,121","31,750","28,134","24,794","31,006","26,685","26,308","25,834","28,484","49,475","48,458","52,844","53,426","49,106","59,423","58,708","56,084","55,973","55,419","51,980","52,192","55,303","53,572","54,259","45,800","51,107","47,991","42,074","42,862","54,886","51,802","53,501","54,044","54,897","56,480","39,865","34,966","31,669","25,726","34,700","35,337"
"Emigrants","66,034","63,850","83,501","78,021","66,714","57,807","63,321","62,358","49,879","44,863","54,786","59,226","57,770","55,202","50,595","47,707","40,978","40,395","39,760","43,692","45,633","43,993","49,456","52,069","48,396","52,815","51,816","48,008","48,089","47,766","50,149","53,890","58,184","57,633","61,412","66,512","66,158","61,531","58,046","61,466","65,393","62,129","63,722","65,837","67,893","119,964","98,271","92,204","77,591","66,627","92,876","94,576"
"Returning emigrants","39,457","36,117","36,747","37,519","36,399","32,750","31,884","31,501","29,358","27,044","25,676","28,105","26,020","27,068","25,801","16,701","14,293","14,087","13,926","15,208","15,899","15,279","16,358","18,388","19,035","18,956","18,671","17,491","17,680","17,910","25,727","29,257","30,441","31,620","34,711","39,235","33,576","32,069","34,496","37,126","37,170","36,994","36,889","38,458","39,660","63,484","58,406","57,238","45,922","40,901","58,176","59,239"
"Net temporary emigration","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","19,741","19,744","19,746","19,745","19,745","25,564","25,563","25,567","25,564","25,563","27,558","27,559","27,560","27,559","27,558","18,523","18,525","18,529","18,524","18,522","26,663","26,667","26,668","26,665","26,664","..","..","..","..","..","..",".."
"Net non-permanent residents","2,997","7,994","-2,001","7,989","-2,998","-2,002","-2,997","7,990","14,986","13,293","12,297","3,770","5,065","3,711","22,436","58,691","42,177","140,748","28,829","-52,853","-42,919","-71,185","-22,196","-14,152","-826","182","-3,983","18,317","25,032","39,652","33,510","36,771","10,348","9,148","15,978","27,424","51,478","71,886","34,243","14,724","55,400","49,521","32,867","-9,841","35,448","103,776","162,573","168,833","75,265","-51,719","195,772","697,701"
"Non-permanent residents, inflows","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","723,835","1,185,107"
"Non-permanent residents, outflows","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","528,063","487,406"
"Net interprovincial migration","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Residual deviation","-28,748","-28,670","-28,671","-28,673","-28,032","-19,940","-19,936","-19,937","-19,993","-20,068","-21,619","-21,616","-21,679","-21,619","-20,165","-2,665","-2,673","-2,665","-2,667","-4,253","-24,183","-24,120","-24,116","-24,121","-22,326","-9,978","-9,978","-9,977","-10,008","-9,802","-7,875","-7,873","-7,895","-7,872","-10,886","-31,800","-31,887","-31,798","-31,800","-30,684","-24,049","-23,981","-23,983","-23,984","-19,456","8,245","8,244","8,246","8,268","7,091","..",".."

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"Period from July 1 to June 30."
2,"The number of births is final up to 2020/2021, updated for 2021/2022 and preliminary for 2022/2023."
3,"Starting in January 2022, estimates of births are produced by the Centre for Demography, Statistics Canada (See Definitions, data sources and methods record number 3601). Before January 2022, data are from Vital Statistics – Birth and Death Databases, Statistics Canada (See Definitions, data sources and methods record number 3231). However, before January 2010, the final estimates included in this table may differ from vital statistics already released by Statistics Canada, due to the imputation of certain unknown values (province or territory). Due to incomplete births data in 2021 and 2022, births data from vital statistics were estimated for Nova Scotia for August to December 2021 and for Manitoba for the whole 2021 and 2022 years."
4,"The number of deaths is final up to 2020/2021, updated for 2021/2022 and preliminary for 2022/2023."
5,"Starting in January 2021, estimates of deaths are produced by the Centre for Demography, Statistics Canada (See Definitions, data sources and methods record number 3601), incorporating provisional deaths data from the Centre for Population Health Data. Before January 2021, data are from Vital Statistics – Birth and Death Databases, Statistics Canada (See Definitions, data sources and methods record number 3233). However, before January 2013, the estimates included in this table may differ from vital statistics already released by Statistics Canada, due to the imputation of certain unknown values (province or territory)."
6,"The number of immigrants is final up to 2021/2022 and preliminary for 2022/2023."
7,"Net emigration is obtained as follows: Emigrants - Returning emigrants. For estimates from 1991 to June 2016, net emigration is obtained as follows: Emigrants + Net temporary emigration - Returning emigrants."
8,"The estimated numbers of emigrants and returning emigrants have been revised going back to July 2016. Before this date, short-term emigrants and short-term returning emigrants were included in the “net temporary emigration” component. After this date, they are included in the emigrant and returning emigrant components, using a slightly different methodology. Due to this change, the net temporary emigration component is no longer calculated from July 2016 onwards."
9,"The number of emigrants is final up to 2020/2021, updated for 2021/2022 and preliminary for 2022/2023."
10,"Please note that due to the methodology used for the estimates of the emigration and the returning emigration, the estimates for the most recent periods are expected to be identical or very similar."
11,"The number of returning emigrants is final up to 2020/2021, updated for 2021/2022 and preliminary for 2022/2023."
12,"The net temporary emigrants is final up to 2015/2016."
13,"A non-permanent resident refers to a person from another country with a usual place of residence in Canada and who has a work or study permit or who has claimed refugee status (asylum claimant). Family members living with work or study permit holders are also included unless these family members are already Canadian citizens, landed immigrants (permanent residents), or non-permanent residents themselves."
14,"The net non-permanent residents is final up to 2020/2021, updated for 2021/2022 and preliminary for 2022/2023."
15,"This is an estimate of the number of non-permanent residents in Canada, and differs from the number of asylum claimants and temporary residents from the Department of Immigration Refugees and Citizenship Canada (IRCC). Care should be taken to consider the differences in methods and reference dates when comparing data from IRCC with Statistics Canada demographic estimates. The two data sources are not fully comparable."
16,"The number of people entering Canada to work, study or claim asylum status along with their family members who are not Canadian citizens or landed immigrants (permanent residents)."
17,"The number of work and study permit holders leaving Canada, along with their family members who are not Canadian citizens or landed immigrants (permanent residents). This also includes permit holders and asylum claimants staying in Canada who have been granted permanent resident status. In this case, these persons will be added to the immigration component. Asylum claimants who have had their status revoked will be counted as an outflow."
18,"The net interprovincial migration is final up to 2021/2022 and preliminary for 2022/2023."
19,"Residual deviation is obtained by linearly distributing the opposite value of the error of closure throughout the intercensal period. The error of closure is defined as the difference between the postcensal population estimate on Census Day and the population enumerated in that census adjusted for census net undercoverage and incompletely enumerated reserves and settlements. A positive residual deviation means that the postcensal population estimate on Census Day is less than the adjusted population enumerated in that census. A negative residual deviation means that the postcensal population estimate on Census Day is greater than the adjusted population enumerated in that census."



"How to cite: Statistics Canada. Table 17-10-0008-01  Estimates of the components of demographic growth, annual"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000801
